이름,ID/IP,타입,글,조회수,추천,리플,댓글,평균 조회수,조회수 편차율,평균 추천 수,추천 편차율,평균 리플 수,리플 편차율,가중값
ㅇㅇ,sorry8795,,2778,167365,970,5844,3461,60.25,-19.05,0.35,-68.71,2.1,48.72,2178.66
고양이는멍멍,hold3390,,2751,140915,660,4779,3752,51.22,-31.18,0.24,-78.54,1.74,23.22,2215.92
캄사,gang1434,,2728,177091,627,9227,5886,64.92,-12.77,0.23,-79.44,3.38,139.36,2587.16
완다호이,premium4884,,2721,195618,3193,11809,7296,71.89,-3.41,1.17,4.61,4.34,207.35,2837.04
콩가리.,cartoon7369,,2710,184932,2646,5608,2083,68.24,-8.31,0.98,-12.38,2.07,46.59,1892.54
외고탈출넘버원,outline8448,,2677,228775,2882,9444,7518,85.46,14.82,1.08,-3.44,3.53,149.98,2852.36
ㅇㅇ,219.254,,2665,159164,1669,6570,13313,59.72,-19.76,0.63,-43.67,2.47,74.92,3888.74
원더호이,those0482,,2644,173195,2602,14107,9250,65.5,-12.0,0.98,-12.38,5.34,278.16,3145.64
ㅇㅇ,175.195,,2630,179952,2108,2940,1849,68.42,-8.07,0.8,-28.47,1.12,-20.68,1805.62
오엑스,gross9603,,2622,149722,519,5887,6454,57.1,-23.28,0.2,-82.12,2.25,59.34,2630.04
ㅇㅇ,turtle9099,,2482,155729,938,4274,2130,62.74,-15.7,0.38,-66.02,1.72,21.81,1773.32
아름다운녀,queen8072,,2435,135469,705,5698,6421,55.63,-25.26,0.29,-74.07,2.34,65.71,2519.38
ㅇㅇ,112.152,,2354,178717,3243,2331,2336,75.92,2.01,1.38,23.39,0.99,-29.89,1738.72
기욤둥이,halt9979,,2349,142219,872,4451,4362,60.54,-18.66,0.37,-66.92,1.89,33.84,2100.6
리는우위,paint7151,,2339,125817,857,5621,4175,53.79,-27.73,0.37,-66.92,2.4,69.96,2061.34
ㅇㅇ,shortcut8229,,2282,152580,1044,3131,1611,66.86,-10.17,0.46,-58.87,1.37,-2.98,1567.9
무선샤워기,ahead8134,,2077,240532,2952,6665,7230,115.81,55.6,1.42,26.96,3.21,127.32,2464.52
ㅇㅇ,mass8340,,1983,114102,357,1935,1051,57.54,-22.69,0.18,-83.91,0.98,-30.6,1299.66
비돈,course3265,,1943,151868,2214,3014,2160,78.16,5.01,1.14,1.93,1.55,9.77,1476.88
ㅇㅇ,network6518,,1880,104969,671,6883,11977,55.83,-24.99,0.36,-67.81,3.66,159.19,3208.66
7‰못해서,roof8449,,1830,133472,1332,10408,7475,72.94,-2.0,0.73,-34.73,5.69,302.95,2370.3
바나나와인,endure8174,,1819,166412,1179,19302,23667,91.49,22.92,0.65,-41.88,10.61,651.37,5278.7
개구리는개구리다,speaker6805,,1818,97429,869,3116,1956,53.59,-28.0,0.48,-57.08,1.71,21.1,1370.16
ㅇㅇ,112.146,,1815,100830,277,2729,2156,55.55,-25.36,0.15,-86.59,1.5,6.23,1404.48
빌런빌런,gamble5526,,1800,106135,828,3776,6027,58.96,-20.78,0.46,-58.87,2.1,48.72,2092.86
ㅇㅇ,library1113,,1740,84099,569,2184,1538,48.33,-35.06,0.33,-70.49,1.26,-10.77,1251.24
연세대꼭간다,cook7723,,1737,162045,2255,4719,1497,93.29,25.34,1.3,16.23,2.72,92.62,1242.18
버그캣,chase7063,,1723,109360,1897,5191,3668,63.47,-14.72,1.1,-1.65,3.01,113.16,1625.12
ㅇㅇ,182.218,,1719,99397,498,4725,6565,57.82,-22.31,0.29,-74.07,2.75,94.75,2144.34
채원요정,chaewon48,,1699,132048,4440,7039,3595,77.72,4.42,2.61,133.36,4.14,193.18,1598.54
토끼아씨,laborer7311,,1697,80398,581,2954,4402,47.38,-36.34,0.34,-69.6,1.74,23.22,1742.68
ㅇㅇ,pistolstar05,,1695,94872,804,983,1408,55.97,-24.8,0.47,-57.98,0.58,-58.93,1202.64
노베이스6등급,producer4014,,1673,95770,837,3814,2256,57.24,-23.09,0.5,-55.29,2.28,61.46,1342.96
내아내는호모토아키나,trap7451,,1649,135700,1163,1493,434,82.29,10.56,0.71,-36.52,0.91,-35.56,1001.56
Vlaan,almost8330,,1622,119378,530,5083,5280,73.6,-1.11,0.33,-70.49,3.13,121.66,1858.72
맥날케챺도둑,persuade5380,,1595,105869,704,2785,2239,66.38,-10.81,0.44,-60.66,1.75,23.93,1296.22
ㅇㅇ,code6586,,1570,110490,1947,4909,3154,70.38,-5.44,1.24,10.87,3.13,121.66,1446.92
ㅇㅇ,123.213,,1561,111747,826,1687,804,71.59,-3.81,0.53,-52.61,1.08,-23.52,1018.88
새컨,lctr1c,,1557,104515,1279,3355,3480,67.13,-9.81,0.82,-26.68,2.15,52.26,1498.32
흥쫀디,atrocityexhibition,,1554,102570,249,11773,8115,66.0,-11.32,0.16,-85.69,7.58,436.79,2330.94
ㅇㅇ,122.36,,1543,105265,969,2197,1482,68.22,-8.34,0.63,-43.67,1.42,0.56,1130.84
ㅇㅇ,breast9227,,1540,73917,1413,4372,4001,48.0,-35.51,0.92,-17.74,2.84,101.12,1582.58
Antiderivative,reliable1429,,1533,88353,314,4618,5010,57.63,-22.57,0.2,-82.12,3.01,113.16,1760.28
ㅇㅇ,122.35,,1507,78352,621,2736,1713,51.99,-30.15,0.41,-63.34,1.82,28.89,1152.26
캄사,merge0711,,1494,92401,483,4879,3197,61.85,-16.9,0.32,-71.39,3.27,131.57,1412.1
마지막수능,buffalo6700,,1482,140729,1956,3755,13095,94.96,27.59,1.32,18.02,2.53,79.17,3187.02
푸딩댕이,east5034,,1457,93354,310,5091,4760,64.07,-13.92,0.21,-81.22,3.49,147.15,1672.72
Rareliquid,rareliquid,,1442,168160,1161,13750,9034,116.62,56.69,0.81,-27.58,9.54,575.6,2433.64
ㅇㅇ,115.94,,1435,111054,2809,1708,720,77.39,3.98,1.96,75.25,1.19,-15.73,933.2
ㅇㅇ,210.96,,1427,99425,3383,1255,822,69.67,-6.39,2.37,111.9,0.88,-37.68,947.08
완장들고생해라,angel7079,,1427,88410,1536,2597,5006,61.96,-16.75,1.08,-3.44,1.82,28.89,1700.2
ㅇㅇ,112.144,,1372,74248,471,1187,1567,54.12,-27.29,0.34,-69.6,0.87,-38.39,1050.38
ㅇㅇ,creep2122,,1369,85232,1452,2036,1769,62.26,-16.35,1.06,-5.22,1.49,5.52,1085.06
혜라가너무좋아엉엉쓴,frown4058,,1349,73920,920,4058,3371,54.8,-26.37,0.68,-39.2,3.01,113.16,1362.22
아랴,tomorrow2470,,1333,114213,2240,9530,7443,85.68,15.12,1.68,50.21,7.15,406.34,2086.22
에스,espal,,1326,96189,276,5317,3720,72.54,-2.54,0.21,-81.22,4.01,183.98,1412.16
ㅇㅇ,175.121,,1276,85000,1093,2181,2078,66.61,-10.5,0.86,-23.11,1.71,21.1,1088.6
벅캣,fuel8321,,1269,90110,856,3463,2384,71.01,-4.59,0.67,-40.09,2.73,93.33,1139.76
ㅇㅇ,engineer3923,,1264,72246,195,4315,3384,57.16,-23.2,0.15,-86.59,3.41,141.49,1316.96
더블비얀코,sketch9525,,1249,58583,757,1946,5433,46.9,-36.99,0.61,-45.46,1.56,10.47,1677.38
4수,ancestor0527,,1220,88834,387,3284,3957,72.81,-2.17,0.32,-71.39,2.69,90.5,1395.46
carandache,luminite,,1215,98473,1326,4285,3258,81.05,8.9,1.09,-2.54,3.53,149.98,1266.84
ㅇㅇ,121.184,,1213,74600,825,1442,1718,61.5,-17.37,0.68,-39.2,1.19,-15.73,988.52
ㅇㅇ,gift0445,,1211,100675,2075,1611,1271,83.13,11.69,1.71,52.89,1.33,-5.81,906.94
김노엘,chemical3899,,1210,70839,953,1908,2765,58.54,-21.35,0.79,-29.37,1.58,11.89,1175.3
한세림,lifeholik,,1209,99638,242,12930,11268,82.41,10.72,0.2,-82.12,10.69,657.03,2705.28
롤링걸,orphan4124,,1209,98282,469,4609,1893,81.29,9.22,0.39,-65.13,3.81,169.81,1017.78
신나모롤,sigh9816,,1206,81654,494,9038,10086,67.71,-9.03,0.41,-63.34,7.49,430.42,2490.84
미츠하.,honor8443,,1178,86606,644,3039,2851,73.52,-1.22,0.55,-50.82,2.58,82.71,1172.86
ㅇㅇ,180.182,,1171,66506,511,2293,1895,56.79,-23.7,0.44,-60.66,1.96,38.8,996.86
ㅇㅇ,hiking3502,,1168,81682,947,3918,2875,69.93,-6.04,0.81,-27.58,3.35,137.24,1171.58
SaibaMomoi,plastic1024,,1168,86923,1227,3262,2566,74.42,-0.01,1.05,-6.12,2.79,97.58,1115.96
타임리스이어링,kjlzy99rnty2,,1160,59024,148,2742,1433,50.88,-31.64,0.13,-88.38,2.36,67.13,907.54
아스마토키,zyw321,,1159,86630,1288,2931,3848,74.75,0.43,1.11,-0.75,2.53,79.17,1341.68
ㅇㅇ,110.44,,1152,191713,5152,1296,380,166.42,123.6,4.47,299.67,1.12,-20.68,713.52
미타타,beggar5980,,1147,85116,1609,2929,3591,74.21,-0.29,1.4,25.18,2.55,80.58,1288.7
막사는인생.,cake8153,,1138,76741,250,1987,1338,67.43,-9.4,0.22,-80.33,1.75,23.93,878.12
입시평가연구소ZERO,sunghyun2849,,1130,124507,3105,4508,3677,110.18,48.04,2.75,145.88,3.99,182.56,1294.66
노베3합7,train9433,,1125,109599,689,4453,2565,97.42,30.89,0.61,-45.46,3.96,180.44,1091.7
미라클큐트,cohai,,1100,63770,226,5300,4492,57.97,-22.11,0.21,-81.22,4.82,241.34,1424.56
일년째시발점,kindlove1,,1098,99882,2566,1358,1176,90.97,22.23,2.34,109.22,1.24,-12.19,826.56
ㅇㅇ,211.49,,1087,63588,342,1352,987,58.5,-21.4,0.31,-72.28,1.24,-12.19,786.38
벼랑위의포뇨,frown3974,,1082,49239,208,1929,2220,45.51,-38.85,0.19,-83.01,1.78,26.05,1005.52
칸죠비,pioneer6668,,1075,57912,132,1475,856,53.87,-27.62,0.12,-89.27,1.37,-2.98,756.08
ㅇㅇ,acquire0631,,1068,53886,729,1647,1435,50.46,-32.2,0.68,-39.2,1.54,9.06,856.38
raincandy_,pershade,,1064,55543,296,2513,2585,52.2,-29.86,0.28,-74.96,2.36,67.13,1061.14
빡통이3끼,loss2332,,1061,52111,218,1769,1281,49.11,-34.02,0.21,-81.22,1.67,18.26,824.74
세네카.,aaaaaa12345,,1060,90323,769,2278,1139,85.21,14.49,0.73,-34.73,2.15,52.26,798.62
피티,pity4338,,1058,62122,168,3795,2097,58.72,-21.1,0.16,-85.69,3.59,154.23,969.94
GomD,berry6,,1048,40872,197,2821,4706,39.0,-47.6,0.19,-83.01,2.69,90.5,1433.96
ㅇㅇ,115.138,,1045,112466,2248,1587,1165,107.62,44.6,2.15,92.23,1.52,7.64,794.9
ㅇㅇ,1.252,,1041,63764,801,1068,647,61.25,-17.71,0.77,-31.15,1.03,-27.06,699.42
ㅇㅇ,idea8901,,1034,56630,562,3034,6454,54.77,-26.41,0.54,-51.72,2.93,107.49,1740.76
노려라연천문,chubby6692,,1029,70158,717,1464,1319,68.18,-8.39,0.7,-37.41,1.42,0.56,813.66
ㅇㅇ,1.236,,1018,72112,1500,974,403,70.84,-4.82,1.47,31.43,0.96,-32.02,642.62
아사이나루미,sharp0407,,1007,69530,317,1010,591,69.05,-7.23,0.31,-72.28,1.0,-29.18,670.3
ㅇㅇ,175.117,,1005,94180,4189,859,804,93.71,25.91,4.17,272.85,0.85,-39.81,707.52
Miharu,chase123,,997,54896,271,2818,2725,55.06,-26.02,0.27,-75.86,2.83,100.41,1048.82
Spea,6id3dkvg99u,,994,65060,385,1810,1040,65.45,-12.06,0.39,-65.13,1.82,28.89,743.84
파스칼,connectsh,,990,58618,1021,1251,943,59.21,-20.45,1.03,-7.91,1.26,-10.77,724.14
ㅇㅇ,112.109,,988,57558,184,907,545,58.26,-21.72,0.19,-83.01,0.92,-34.85,651.38
걸창사냥꾼,opera0732,,979,46075,622,1504,1252,47.06,-36.77,0.64,-42.78,1.54,9.06,773.6
기출의미래,flood8493,,959,48187,897,877,655,50.25,-32.48,0.94,-15.95,0.91,-35.56,654.94
hajamm,hobby3000,,957,41817,447,3087,4973,43.7,-41.29,0.47,-57.98,3.23,128.74,1431.06
은돌퍼플,phybeube,,949,73780,1262,2222,1790,77.74,4.45,1.33,18.92,2.34,65.71,853.64
고려대학교,curl3951,,940,74490,1038,1919,1085,79.24,6.47,1.1,-1.65,2.04,44.47,721.7
말차강산,sprain3377,,931,57063,717,2088,3627,61.29,-17.65,0.77,-31.15,2.24,58.63,1174.22
닉,116.124,,927,55049,1031,472,422,59.38,-20.22,1.11,-0.75,0.51,-63.88,595.08
ㅇㅇ,220.126,,925,69957,1554,649,2244,75.63,1.62,1.68,50.21,0.7,-50.43,921.92
DOKU,kim094,,924,67490,797,3723,9220,73.04,-1.86,0.86,-23.11,4.03,185.39,2177.04
강기분,today2477,,918,59464,213,1466,763,64.78,-12.96,0.23,-79.44,1.6,13.31,651.42
ㅇㅇ,metaphor7732,,902,49721,322,1120,1192,55.12,-25.94,0.36,-67.81,1.24,-12.19,719.68
지옥변,prompt2203,,886,51341,175,1042,2121,57.95,-22.14,0.2,-82.12,1.18,-16.44,877.94
올아웃,robot6581,,879,61514,904,1588,2542,69.98,-5.98,1.03,-7.91,1.81,28.18,949.8
ㅇㅇ,121.180,,876,53712,191,1155,461,61.32,-17.61,0.22,-80.33,1.32,-6.52,573.54
suis1,jewel9389,,864,37708,196,870,5289,43.64,-41.37,0.23,-79.44,1.01,-28.47,1435.86
유키모도키,chef3845,,858,64444,461,1363,1061,75.11,0.92,0.54,-51.72,1.59,12.6,671.46
ㅇㅇ,180.224,,857,57006,526,1132,981,66.52,-10.62,0.61,-45.46,1.32,-6.52,656.5
ㅇㅇ,fought8534,,817,50723,996,1793,897,62.08,-16.59,1.22,9.08,2.19,55.09,618.98
유명,cook0946,,804,60462,666,2000,6364,75.2,1.04,0.83,-25.79,2.49,76.33,1595.76
team10,homemade1836,,791,45401,156,1666,544,57.4,-22.88,0.2,-82.12,2.11,49.42,540.88
ㅇㅇ,steel1711,,773,52056,613,2439,3568,67.34,-9.52,0.79,-29.37,3.16,123.78,1075.12
sniff,insight0331,,770,31967,417,915,459,41.52,-44.21,0.54,-51.72,1.19,-15.73,513.82
ㅇㅇ,218.238,,767,38979,152,2013,1960,50.82,-31.72,0.2,-82.12,2.62,85.54,782.32
유이와함께삼수하기,rise8130,,765,40848,146,736,599,53.4,-28.25,0.19,-83.01,0.96,-32.02,536.22
민티,minty0528,,760,38101,218,1612,1325,50.13,-32.65,0.29,-74.07,2.12,50.13,664.1
ㅇㅇ,175.119,,757,44347,268,1074,1350,58.58,-21.29,0.35,-68.71,1.42,0.56,666.92
성흔의잭나이츠,mekknights081211,,754,53671,482,1726,1220,71.18,-4.36,0.64,-42.78,2.29,62.17,641.84
안개꽃。,historic6415,,751,41556,585,2088,2511,55.33,-25.66,0.78,-30.26,2.78,96.87,872.54
전라도대장,gorgeous7315,,749,45700,371,692,452,61.01,-18.03,0.5,-55.29,0.92,-34.85,500.8
ㅇㅇ,112.145,,733,44592,351,801,369,60.83,-18.27,0.48,-57.08,1.09,-22.81,476.9
ㅇㅇ,211.118,,728,59033,581,1087,791,81.09,8.95,0.8,-28.47,1.49,5.52,550.06
ㅇㅇ,49.142,,715,46933,851,669,2871,65.64,-11.81,1.19,6.4,0.94,-33.43,917.18
ㅇㅇ,zero7907,,713,38037,151,1387,761,53.35,-28.32,0.21,-81.22,1.95,38.09,536.26
mega_kmc,yhb2006,,709,54801,199,1958,1767,77.29,3.85,0.28,-74.96,2.76,95.46,715.1
ㅇㅇ,116.123,,684,65843,1749,959,1466,96.26,29.33,2.56,128.89,1.4,-0.86,646.92
ㅇㅇ,inventor2474,,659,34707,91,972,1514,52.67,-29.23,0.14,-87.48,1.47,4.1,641.56
마제스티,luck1914,,650,109994,2352,1393,263,169.22,127.36,3.62,223.67,2.14,51.55,411.34
부두술사.,powersexmachine,,642,40988,787,1758,4179,63.84,-14.23,1.23,9.98,2.74,94.04,1111.74
무새,sogogimuse,,639,43923,395,1251,674,68.74,-7.64,0.62,-44.57,1.96,38.8,479.16
샌드박스,drown9028,,633,37602,414,1573,1889,59.4,-20.19,0.65,-41.88,2.48,75.63,694.5
의대스피드런,panel8865,,631,29850,365,1621,1580,47.31,-36.43,0.58,-48.14,2.57,82.0,637.76
한석순이,banana0840,,631,37211,395,617,456,58.97,-20.77,0.63,-43.67,0.98,-30.6,435.44
뚱뚜,ddungddu,,623,42211,764,2749,4927,67.75,-8.97,1.23,9.98,4.41,212.3,1235.74
ㅇㅇ(220.94),complain2286,,619,34663,354,1539,905,56.0,-24.76,0.57,-49.04,2.49,76.33,509.54
ㅇㅇ,truth2782,,615,38759,187,904,666,63.02,-15.33,0.3,-73.18,1.47,4.1,464.28
ㅇㅇ,112.148,,613,45773,390,769,990,74.67,0.33,0.64,-42.78,1.25,-11.48,521.48
56454,wuliusiwusi,,612,28260,40,737,719,46.18,-37.95,0.07,-93.74,1.2,-15.02,472.14
한석남,moonkejaeger,,598,33439,159,1814,1671,55.92,-24.87,0.27,-75.86,3.03,114.58,635.66
ㅇㅇ,218.49,,598,31853,107,817,2112,53.27,-28.43,0.18,-83.91,1.37,-2.98,715.04
ㅇㅇ,hill8262,,594,34191,170,757,404,57.56,-22.66,0.29,-74.07,1.27,-10.06,405.36
ㅇㅇ,116.121,,588,45381,903,502,277,77.18,3.7,1.54,37.69,0.85,-39.81,379.14
ㅇㅇ,1.250,,586,33115,349,861,833,56.51,-24.07,0.6,-46.35,1.47,4.1,478.1
난진심으로네손에죽고싶었어,little7996,,586,29949,25,671,418,51.11,-31.33,0.04,-96.42,1.15,-18.56,403.4
바보에요,note9392,,574,34929,83,2785,2704,60.85,-18.24,0.14,-87.48,4.85,243.46,808.16
ㅇㅇ,180.68,,573,50099,525,702,1295,87.43,17.47,0.92,-17.74,1.23,-12.89,553.98
ㅇㅇ,likely4402,,571,36661,147,1312,753,64.2,-13.74,0.26,-76.75,2.3,62.88,455.3
서강대꼬옥간다,migrate8435,,566,33942,769,865,610,59.97,-19.43,1.36,21.6,1.53,8.35,426.76
ㅇㅇ,party5023,,563,25740,425,1361,3199,45.72,-38.57,0.75,-32.94,2.42,71.38,891.1
ㅇㅇ,14.47,,558,41615,237,870,1437,74.58,0.2,0.42,-62.45,1.56,10.47,571.14
ㅇㅇ,110.14,,558,35192,650,456,465,63.07,-15.26,1.16,3.72,0.82,-41.93,396.18
ㅇㅇ,124.51,,556,51999,291,850,174,93.52,25.65,0.52,-53.51,1.53,8.35,342.68
스터디윗테토,phone6929,,548,32963,292,1089,594,60.15,-19.18,0.53,-52.61,1.99,40.93,413.8
ㅇㅇ,purpose7653,,547,36022,535,902,341,65.85,-11.52,0.98,-12.38,1.65,16.85,367.7
ㅇㅇ,possible9852,,544,26270,405,807,1038,48.29,-35.12,0.74,-33.84,1.48,4.81,491.48
ㅇㅇ,canopus04,,542,43807,767,341,541,80.82,8.59,1.42,26.96,0.63,-55.39,400.9
ㅇㅇ,121.188,,538,48986,501,818,1538,91.05,22.33,0.93,-16.85,1.52,7.64,578.12
olive0127,olive0128,,530,26296,484,419,346,49.62,-33.33,0.91,-18.64,0.79,-44.05,359.08
못생죄,correct7914,,526,28318,130,682,1682,53.84,-27.66,0.25,-77.65,1.3,-7.94,597.32
ㅇㅇ,182.230,,520,31198,471,1091,1348,60.0,-19.38,0.91,-18.64,2.1,48.72,533.84
ㅇㅇ,218.55,,519,30772,51,613,217,59.29,-20.34,0.1,-91.06,1.18,-16.44,329.7
뚜롱,kitchen6925,,518,33537,840,2614,19369,64.74,-13.02,1.62,44.85,5.05,257.63,3776.5
ㅇㅇ,definite6710,,517,34989,146,727,128,67.68,-9.07,0.28,-74.96,1.41,-0.15,312.56
Paran,coffee7450,,515,22701,50,942,871,44.08,-40.77,0.1,-91.06,1.83,29.6,445.18
ㅇㅇ,verbal7988,,511,29511,317,480,242,57.75,-22.41,0.62,-44.57,0.94,-33.43,329.72
느금꽃,hanyuuuu,,508,31713,148,1630,1116,62.43,-16.12,0.29,-74.07,3.21,127.32,485.36
바네샤,casa6lanca,,505,29983,128,1635,2036,59.37,-20.23,0.25,-77.65,3.24,129.45,649.28
ㅇㅇ,galaxy1906,,497,23717,184,399,2100,47.72,-35.88,0.37,-66.92,0.8,-43.35,656.32
ㅇㅇ,118.39,,497,50942,446,1049,785,102.5,37.72,0.9,-19.53,2.11,49.42,419.62
로리박사,goodness6695,,489,17363,135,678,641,35.51,-52.29,0.28,-74.96,1.39,-1.56,389.22
읭구스,suspend6417,,485,23219,346,2058,1688,47.87,-35.68,0.71,-36.52,4.24,200.26,575.44
ㅇㅇ,211.58,,483,65481,3215,420,201,135.57,82.15,6.66,495.48,0.87,-38.39,306.66
토키,pipe1743,,482,31146,154,1123,1599,64.62,-13.18,0.32,-71.39,2.33,65.0,557.74
자소의잭나이츠,mice3859,,481,33483,707,941,697,69.61,-6.47,1.47,31.43,1.96,38.8,394.82
ㅇㅇ,menu6184,,478,29674,86,692,1477,62.08,-16.59,0.18,-83.91,1.45,2.68,533.54
사문,skin8481,,477,23398,83,580,1071,49.05,-34.1,0.17,-84.8,1.22,-13.6,459.9
ㅇㅇ,equal4249,,467,30139,232,692,350,64.54,-13.28,0.5,-55.29,1.48,4.81,324.52
ㅇㅇ,194.233,,466,112473,4257,619,103,241.36,224.29,9.14,717.22,1.33,-5.81,279.5
ㅇㅇ(219.241),yellow3250,,465,35443,823,380,231,76.22,2.41,1.77,58.26,0.82,-41.93,301.98
ㅇㅇ,traveler1057,,462,38566,1087,843,727,83.48,12.16,2.35,110.12,1.82,28.89,389.58
hajamm,hint5233,,460,26723,88,1159,5247,58.09,-21.95,0.19,-83.01,2.52,78.46,1202.06
스터디윗미쿠,earphone8912,,460,30993,185,1207,814,67.38,-9.47,0.4,-64.24,2.62,85.54,404.12
"피,자",muddy3336,,457,33285,800,965,476,72.83,-2.15,1.75,56.47,2.11,49.42,341.6
반수가너무좋아엉엉쓴,space9811,,456,36903,564,1060,1102,80.93,8.74,1.24,10.87,2.32,64.3,453.72
ㅇㅇ,211.216,,451,36281,297,607,190,80.45,8.09,0.66,-40.99,1.35,-4.4,286.76
해우,wild7755,,451,19637,91,902,818,43.54,-41.5,0.2,-82.12,2.0,41.63,399.8
말랑한백향과,bank0005,,443,28153,157,1552,1659,63.55,-14.62,0.35,-68.71,3.5,147.86,546.7
위대한파김치,instruct7363,,442,25355,403,1245,973,57.36,-22.93,0.91,-18.64,2.82,99.7,422.66
himself8916,himself8916,,441,27886,42,899,941,63.23,-15.05,0.1,-91.06,2.04,44.47,416.34
