이름,ID/IP,타입,글,조회수,추천,리플,댓글,평균 조회수,조회수 편차율,평균 추천 수,추천 편차율,평균 리플 수,리플 편차율,가중값
ㅇㅇ(code6586),code6586,비고정,404,26758,740,1587,997,66.23,67.5,1.83,142.81,3.93,231.48,405.7
해우,wild7755,고정,403,15421,75,748,586,38.27,-3.21,0.19,-74.79,1.86,56.88,331.16
ㅇㅇ(network6518),network6518,비고정,401,18953,236,1795,3012,47.26,19.52,0.59,-21.72,4.48,277.87,766.72
아랴,tomorrow2470,고정,389,28430,805,2407,1524,73.08,84.82,2.07,174.65,6.19,422.1,492.16
ㅇㅇ(aa00a0a),aa00a0a,비고정,379,20008,135,1567,1111,52.79,33.51,0.36,-52.23,4.13,248.35,412.22
안개꽃。,historic6415,고정,369,19677,436,1099,1227,53.33,34.88,1.18,56.57,2.98,151.35,427.5
위대한파김치,instruct7363,고정,354,20034,330,939,787,56.59,43.12,0.93,23.4,2.65,123.52,339.9
ㅇㅇ(220.94),complain2286,고정,350,15875,254,954,513,45.36,14.72,0.73,-3.14,2.73,130.26,288.34
비돈,course3265,고정,346,17700,512,427,204,51.16,29.39,1.48,96.37,1.23,3.74,230.48
ㅇㅇ(210.96),210.96,비회원,340,23356,822,390,48,68.69,73.72,2.42,221.09,1.15,-3.0,199.04
채원요정,chaewon48,고정,340,19208,862,1328,663,56.49,42.87,2.54,237.01,3.91,229.79,309.74
서강대꼬옥간다,migrate8435,고정,340,20339,603,470,312,59.82,51.29,1.77,134.85,1.38,16.4,246.56
ㅇㅇ(since0418),since0418,비고정,338,22128,467,1962,1738,65.47,65.58,1.38,83.1,5.8,389.2,502.12
오엑스,gross9603,고정,328,13812,170,635,666,42.11,6.5,0.52,-31.0,1.94,63.63,303.56
P_,pershade,고정,315,16298,191,767,697,51.74,30.85,0.61,-19.06,2.43,104.96,301.86
DOKU,kim094,고정,314,18601,354,1212,1441,59.24,49.82,1.13,49.93,3.86,225.57,435.22
벼랑위의포뇨,frown3974,고정,307,12292,74,496,706,40.04,1.26,0.24,-68.16,1.62,36.64,299.0
ㅇㅇ(party5023),party5023,비고정,303,12473,263,716,1488,41.17,4.12,0.87,15.43,2.36,99.05,437.52
체르니30,explain5888,고정,302,12207,122,1127,810,40.42,2.23,0.4,-46.93,3.73,214.61,314.92
뚱뚜,ddungddu,고정,299,18048,438,1238,2127,60.36,52.65,1.46,93.72,4.14,249.19,550.3
ㅇㅇ(121.170),zxc125673,고정,299,19263,277,1169,797,64.42,62.92,0.93,23.4,3.91,229.79,310.9
캄사,gang1434,고정,296,13667,41,732,506,46.17,16.77,0.14,-81.42,2.47,108.33,256.84
푸딩댕이,east5034,고정,287,16262,109,1099,713,56.66,43.3,0.38,-49.58,3.83,223.04,289.06
김콜라(exist5505),exist5505,비고정,285,11488,39,74,3,40.31,1.95,0.14,-81.42,0.26,-78.07,160.14
바나나와인,endure8174,고정,283,19116,270,3327,3757,67.55,70.84,0.95,26.05,11.76,891.9,834.74
은돌퍼플,phybeube,고정,280,19010,378,519,466,67.89,71.7,1.35,79.12,1.85,56.04,240.68
ㅇㅇ(hill8262),hill8262,비고정,278,13847,40,317,176,49.81,25.97,0.14,-81.42,1.14,-3.85,187.36
ㅇㅇ(mass8340),mass8340,비고정,272,12157,55,255,156,44.69,13.02,0.2,-73.46,0.94,-20.72,180.4
뚜롱,kitchen6925,고정,268,16922,534,1301,10310,63.14,59.69,1.99,164.04,4.85,309.07,2005.88
ㅇㅇ(42.82),42.82,비회원,267,11221,47,143,147,42.03,6.3,0.18,-76.12,0.54,-54.45,175.98
ㅇㅇ(metaphor7732),metaphor7732,비고정,266,11692,152,377,408,43.95,11.15,0.57,-24.37,1.42,19.77,222.4
Miharu,chase123,고정,264,12368,153,813,806,46.85,18.49,0.58,-23.04,3.08,159.78,292.92
의대스피드런,panel8865,고정,261,12889,217,693,679,49.38,24.89,0.83,10.13,2.66,124.36,268.38
비돈(차단),seize7753,고정,261,17416,588,288,125,66.73,68.77,2.25,198.54,1.1,-7.22,168.66
좃바금,tent8484,고정,238,12113,208,590,539,50.89,28.7,0.87,15.43,2.48,109.18,230.3
56454,wuliusiwusi,고정,236,8882,26,253,258,37.64,-4.81,0.11,-85.4,1.07,-9.75,178.6
Paran,coffee7450,고정,234,9160,37,503,499,39.15,-0.99,0.16,-78.77,2.15,81.34,220.86
일년째시발점,kindlove1,고정,233,15924,566,329,459,68.34,72.84,2.43,222.42,1.41,18.93,213.1
Vlaan,almost8330,고정,233,13022,60,708,790,55.89,41.35,0.26,-65.5,3.04,156.41,272.68
흥쫀디,atrocityexhibition,고정,228,12838,82,1958,1327,56.31,42.41,0.36,-52.23,8.59,624.53,366.54
입시평가연구소ZERO,sunghyun2849,고정,227,14767,367,815,695,65.05,64.52,1.62,114.95,3.59,202.8,252.22
민티,minty0528,고정,227,8975,108,457,376,39.54,-0.0,0.48,-36.31,2.01,69.53,194.8
미요던,west5151,고정,220,13225,71,1836,1335,60.11,52.02,0.32,-57.54,8.35,604.28,363.5
iRecreation,irecreation,고정,218,10445,124,482,316,47.91,21.17,0.57,-24.37,2.21,86.4,178.96
olive0127,olive0128,고정,218,9525,266,181,153,43.69,10.5,1.22,61.87,0.83,-29.99,149.62
ㅇㅇ(possible9852),possible9852,비고정,218,10684,205,346,593,49.01,23.95,0.94,24.72,1.59,34.11,228.82
Spea,6id3dkvg99u,고정,212,10892,102,341,188,51.38,29.94,0.48,-36.31,1.61,35.8,152.56
느금꽃,hanyuuuu,고정,212,10166,60,703,490,47.95,21.27,0.28,-62.85,3.32,180.03,206.92
아스마토키,zyw321,고정,193,13860,187,721,1311,71.81,81.61,0.97,28.7,3.74,215.45,344.06
샌드박스,drown9028,고정,189,8212,160,399,602,43.45,9.89,0.85,12.78,2.11,77.97,214.2
sg-epk@jtk93.x29.jp,peer8995,고정,186,7343,65,205,213,39.48,-0.15,0.35,-53.56,1.1,-7.22,142.5
ㅇㅇ(idea8901),idea8901,비고정,186,7612,94,599,727,40.92,3.49,0.51,-32.33,3.22,171.59,235.02
유명,cook0946,고정,185,14049,270,600,1496,75.94,92.06,1.46,93.72,3.24,173.28,372.88
유이와함께삼수하기,rise8130,고정,184,7286,37,137,132,39.6,0.15,0.2,-73.46,0.74,-37.58,126.8
해린바라기,nobase9,고정,183,7376,14,71,14,40.31,1.95,0.08,-89.39,0.39,-67.11,105.0
새컨,lctr1c,고정,182,8538,58,227,296,46.91,18.64,0.32,-57.54,1.25,5.43,155.2
ㅇㅇ(steel1711),steel1711,비고정,181,10647,181,512,655,58.82,48.76,1.0,32.68,2.83,138.7,219.26
아름다운녀,queen8072,고정,176,8463,123,537,574,48.09,21.62,0.7,-7.12,3.05,157.25,201.88
ㅇㅇ(brick1107),brick1107,비고정,175,9451,53,252,663,54.01,36.6,0.3,-60.2,1.44,21.46,217.34
ㅇㅇ(49.142),49.142,비회원,170,11868,234,167,380,69.81,76.55,1.38,83.1,0.98,-17.34,163.6
신나모롤,sigh9816,고정,170,11378,127,1067,1205,66.93,69.27,0.75,-0.49,6.28,429.69,312.1
ㅇㅇ(pistolstar05),pistolstar05,비고정,170,8267,67,116,183,48.63,22.99,0.39,-48.25,0.68,-42.65,128.14
ㅇㅇ(engineer3923),engineer3923,비고정,168,7565,40,570,384,45.03,13.88,0.24,-68.16,3.39,185.93,163.2
ㅇㅇ(175.121),175.121,비회원,167,6427,95,112,3,38.49,-2.66,0.57,-24.37,0.67,-43.49,94.06
"피,자",muddy3336,고정,162,12455,369,248,130,76.88,94.44,2.28,202.52,1.53,29.05,114.12
ㅇㅇ(124.63),124.63,비회원,161,5983,95,131,34,37.16,-6.02,0.59,-21.72,0.81,-31.68,96.28
치4,entrance6125,고정,159,7122,14,312,331,44.79,13.28,0.09,-88.06,1.96,65.32,148.62
타임리스이어링,kjlzy99rnty2,고정,156,6550,42,438,231,41.99,6.2,0.27,-64.18,2.81,137.01,128.94
ㅇㅇ(112.152),112.152,비회원,152,7173,91,123,25,47.19,19.35,0.6,-20.39,0.81,-31.68,89.62
빡통이3끼,loss2332,고정,151,5308,24,216,199,35.15,-11.1,0.16,-78.77,1.43,20.61,120.38
ㅇㅇ(turtle9099),turtle9099,비고정,148,6637,124,228,121,44.84,13.4,0.84,11.45,1.54,29.89,104.66
ㅇㅇ(123.213),123.213,비회원,146,9457,143,140,0,64.77,63.81,0.98,30.03,0.96,-19.03,81.76
기울기함수,ancient2482,고정,146,9661,104,406,873,66.17,67.35,0.71,-5.8,2.78,134.48,238.9
ㅇㅇ(112.146),112.146,비회원,145,6427,15,165,66,44.32,12.09,0.1,-86.73,1.14,-3.85,93.08
ㅇㅇ(182.218),182.218,비회원,144,5980,62,342,503,41.53,5.03,0.43,-42.95,2.38,100.74,171.18
노려라연천문,chubby6692,고정,143,5844,73,193,129,40.87,3.36,0.51,-32.33,1.35,13.87,103.3
ㅇㅇ(14.46),14.46,비회원,143,18889,577,196,14,132.09,234.07,4.03,434.71,1.37,15.55,82.6
ㅇㅇ(1.236),1.236,비회원,143,8713,285,139,76,60.93,54.1,1.99,164.04,0.97,-18.19,93.76
내아내는호모토아키나(trap7451),trap7451,비고정,140,8566,103,163,43,61.19,54.75,0.74,-1.81,1.16,-2.16,86.14
이원준의검,cool0953,고정,140,10071,187,427,140,71.94,81.94,1.34,77.8,3.05,157.25,103.6
Rareliquid,rareliquid,고정,137,10644,126,1166,747,77.69,96.48,0.92,22.07,8.51,617.78,211.18
국민대꼭간다(some2955),some2955,비고정,137,10049,435,353,341,73.35,85.51,3.18,321.93,2.58,117.61,138.1
올아웃,robot6581,고정,136,9037,223,225,367,66.45,68.06,1.64,117.6,1.65,39.17,142.22
본조비,toaster7777,고정,134,7200,63,458,275,53.73,35.89,0.47,-37.64,3.42,188.46,124.54
ㅇㅇ(112.109),112.109,비회원,130,5262,25,102,23,40.48,2.38,0.19,-74.79,0.78,-34.21,76.94
ㅇㅇ(link7161),link7161,비고정,128,5337,45,233,237,41.7,5.46,0.35,-53.56,1.82,53.51,114.34
인생이피곤,tiredlife,고정,128,6519,211,633,1175,50.93,28.81,1.65,118.93,4.95,317.51,283.18
ㅇㅇ(211.34),211.34,비회원,126,6642,153,92,45,52.71,33.31,1.21,60.55,0.73,-38.43,78.66
ㅇㅇ(182.230),182.230,비회원,125,7244,155,293,0,57.95,46.56,1.24,64.53,2.34,97.37,70.0
오라리,thought2653,고정,124,4195,9,272,174,33.83,-14.44,0.07,-90.71,2.19,84.72,100.76
carandache,luminite,고정,122,6897,142,379,256,56.53,42.97,1.16,53.91,3.11,162.31,114.4
완장들고생해라,angel7079,고정,120,6231,185,170,445,51.92,31.31,1.54,104.33,1.42,19.77,147.3
토끼아씨,laborer7311,고정,119,5905,78,250,426,49.62,25.49,0.66,-12.43,2.1,77.13,143.32
ㅇㅇ(175.117),175.117,비회원,119,9729,563,120,41,81.76,106.78,4.73,527.59,1.01,-14.81,74.02
영길,walkingwake,고정,119,6275,55,559,401,52.73,33.36,0.46,-38.97,4.7,296.42,138.82
하루똥3번,legend8333,고정,117,4037,17,153,348,34.5,-12.75,0.15,-80.1,1.31,10.49,128.16
뻘끌,chat4666,고정,117,4999,120,194,230,42.73,8.07,1.03,36.66,1.66,40.01,106.92
한세림,lifeholik,고정,116,8261,53,1312,1039,71.22,80.12,0.46,-38.97,11.31,853.95,251.98
시나모루2,l3aby,고정,116,10011,179,327,158,86.3,118.26,1.54,104.33,2.82,137.85,93.4
ㅇㅇ(175.195),175.195,비회원,112,6933,104,98,45,61.9,56.55,0.93,23.4,0.88,-25.78,70.82
사문,skin8481,고정,110,4215,16,98,368,38.32,-3.09,0.15,-80.1,0.89,-24.93,127.84
ㅇㅇ(galaxy1906),galaxy1906,비고정,108,3441,34,72,213,31.86,-19.42,0.31,-58.87,0.67,-43.49,98.82
정병걸린정병훈,chaos3774,고정,105,6556,108,835,4749,62.44,57.92,1.03,36.66,7.95,570.55,913.62
ㅇㅇ(1.201),1.201,비회원,102,4494,14,96,49,44.06,11.43,0.14,-81.42,0.94,-20.72,65.94
meru,merudayo,고정,101,5315,22,540,620,52.62,33.08,0.22,-70.81,5.35,351.25,168.16
물스퍼거,europe3368,고정,101,3953,19,164,232,39.14,-1.01,0.19,-74.79,1.62,36.64,98.32
3합5,climate2559,고정,101,5120,57,297,261,50.69,28.2,0.56,-25.7,2.94,147.98,103.54
고려대학교,curl3951,고정,98,5884,132,183,133,60.04,51.85,1.35,79.12,1.87,57.73,78.82
ㅇㅇ(hiking3502),hiking3502,비고정,97,5678,52,504,348,58.54,48.05,0.54,-28.35,5.2,338.6,116.96
ㅇㅇ(218.49),218.49,비회원,96,3886,10,161,79,40.48,2.38,0.1,-86.73,1.68,41.7,67.98
못생죄(correct7914),correct7914,비고정,95,3654,11,118,342,38.46,-2.73,0.12,-84.08,1.24,4.59,114.76
ㅇㅇ(lung2888),lung2888,비고정,95,4133,13,230,178,43.51,10.04,0.14,-81.42,2.42,104.12,85.24
TP,ttubbang,고정,94,4672,24,311,204,49.7,25.69,0.26,-65.5,3.31,179.18,89.36
ㅇㅇ(210.57),210.57,비회원,94,4034,14,204,100,42.91,8.52,0.15,-80.1,2.17,83.03,70.64
바보밥나무,finished0009,고정,92,3046,62,317,1312,33.11,-16.26,0.67,-11.1,3.45,190.99,287.68
이마누엘칸트(lifetime5770),lifetime5770,비고정,92,3060,4,148,424,33.26,-15.88,0.04,-94.69,1.61,35.8,127.84
ㅇㅇ(104.28),104.28,비회원,91,7205,164,115,24,79.18,100.25,1.8,138.83,1.26,6.28,55.28
ㅇㅇ(121.177),121.177,비회원,90,4115,37,374,194,45.72,15.63,0.41,-45.6,4.16,250.88,85.32
빡갤러빡붕이,meeting4244,고정,89,7871,170,182,94,88.44,123.67,1.91,153.42,2.04,72.06,66.76
ㅇㅇ(118.91),118.91,비회원,87,3815,31,143,5,43.85,10.9,0.36,-52.23,1.64,38.33,49.62
부두술사.,powersexmachine,고정,86,5292,125,267,551,61.53,55.61,1.45,92.39,3.1,161.47,147.34
ㅇㅇ(220.126),220.126,비회원,86,6736,267,54,0,78.33,98.1,3.1,311.32,0.63,-46.86,48.16
쉬했음여초딩,orient1016,고정,86,4138,23,152,164,48.12,21.7,0.27,-64.18,1.77,49.29,77.68
미타타,beggar5980,고정,85,5164,150,335,472,60.75,53.64,1.76,133.52,3.94,232.32,132.56
저능,tower8988,고정,84,3188,5,137,141,37.95,-4.02,0.06,-92.04,1.63,37.48,72.42
냐냐쟌(baby0010),baby0010,비고정,84,3248,7,183,99,38.67,-2.2,0.08,-89.39,2.18,83.87,64.86
동아시아,resource3956,고정,84,6893,147,165,164,82.06,107.54,1.75,132.2,1.96,65.32,76.56
페란토레스(launch7925),launch7925,비고정,83,3613,34,148,178,43.53,10.09,0.41,-45.6,1.78,50.13,78.52
고양이는멍멍(hold3390),hold3390,비고정,83,3325,22,221,150,40.06,1.31,0.27,-64.18,2.66,124.36,73.48
랏도,lightly6272,고정,82,4086,63,134,90,49.83,26.02,0.77,2.17,1.63,37.48,62.12
ㅇㅇ(definite6710),definite6710,비고정,82,4295,27,124,17,52.38,32.47,0.33,-56.21,1.51,27.36,48.98
ㅇㅇ(gertuate),gertuate,비고정,82,3742,27,180,438,45.63,15.4,0.33,-56.21,2.2,85.56,124.76
피티,pity4338,고정,81,3026,15,178,92,37.36,-5.51,0.19,-74.79,2.2,85.56,61.92
ㅇㅇ(typhoon9741),typhoon9741,비고정,80,3456,72,88,132,43.2,9.26,0.9,19.41,1.1,-7.22,68.56
바보에요(note9392),note9392,비고정,80,3950,37,419,357,49.38,24.89,0.46,-38.97,5.24,341.97,109.06
ㅇㅇ(211.251),211.251,비회원,80,7063,130,106,30,88.29,123.29,1.62,114.95,1.32,11.34,50.2
ㅇㅇ(purpose7653),purpose7653,비고정,80,3767,54,104,52,47.09,19.09,0.68,-9.78,1.3,9.65,54.16
ㅇㅇ(bird6265),bird6265,비고정,79,3962,34,176,110,50.15,26.83,0.43,-42.95,2.23,88.09,64.04
ㅇㅇ(grandma8513),grandma8513,비고정,77,3676,42,226,106,47.74,20.74,0.55,-27.02,2.94,147.98,62.2
세네카.,aaaaaa12345,고정,75,5205,160,171,63,69.4,75.52,2.13,182.61,2.28,92.31,53.34
ㅇㅇ(125.130),125.130,비회원,74,4051,219,80,45,54.74,38.44,2.96,292.74,1.08,-8.91,49.54
ㅇㅇ(122.153),122.153,비회원,74,2283,25,15,29,30.85,-21.98,0.34,-54.89,0.2,-83.13,46.66
ㅇㅇ(1.224),1.224,비회원,73,2891,34,144,69,39.6,0.15,0.47,-37.64,1.97,66.16,53.3
한석남,moonkejaeger,고정,72,3119,19,176,176,43.32,9.56,0.26,-65.5,2.44,105.8,72.0
ㅇㅇ(124.62),124.62,비회원,72,3604,25,81,33,50.06,26.61,0.35,-53.56,1.12,-5.53,46.26
유세린,chain8005,고정,71,3375,47,153,192,47.54,20.23,0.66,-12.43,2.15,81.34,74.32
ㅇㅇ(afford7197),afford7197,비고정,70,2778,18,81,55,39.69,0.38,0.26,-65.5,1.16,-2.16,49.1
물어,bite1111,고정,69,4401,254,155,52,63.78,61.3,3.68,388.27,2.25,89.78,48.0
사카마타클로에,shopping4953,고정,68,2740,24,186,194,40.29,1.9,0.35,-53.56,2.74,131.11,73.0
ㅇㅇ(116.121),116.121,비회원,68,4630,112,52,6,68.09,72.2,1.65,118.93,0.76,-35.9,39.16
완다호이,premium4884,고정,68,4961,102,253,164,72.96,84.52,1.5,99.02,3.72,213.76,67.6
나비꽃,marry5001,고정,66,2587,33,340,1066,39.2,-0.86,0.5,-33.66,5.15,334.38,228.84
ㅇㅇ(211.248),211.248,비회원,66,2870,48,130,70,43.48,9.96,0.73,-3.14,1.97,66.16,49.56
ㅇㅇ(211.114),211.114,비회원,65,2363,55,44,104,36.35,-8.07,0.85,12.78,0.68,-42.65,55.12
ㅇㅇ(1.210),1.210,비회원,65,5184,148,45,78,79.75,101.69,2.28,202.52,0.69,-41.8,50.44
탐스런.,tamseurun,고정,65,2380,14,54,57,36.62,-7.39,0.22,-70.81,0.83,-29.99,46.66
ㅇㅇ(pocket1188),pocket1188,비고정,65,3092,9,421,1162,47.57,20.31,0.14,-81.42,6.48,446.56,245.56
피콩(leaf9371),leaf9371,비고정,65,2091,13,90,38,32.17,-18.64,0.2,-73.46,1.38,16.4,43.24
ㅇㅇ(weird0294),weird0294,비고정,65,3544,65,109,120,54.52,37.89,1.0,32.68,1.68,41.7,58.0
ㅇㅇ(14.63),14.63,비회원,64,2909,23,50,26,45.45,14.95,0.36,-52.23,0.78,-34.21,40.52
ㅇㅇ(116.45),116.45,비회원,64,3089,6,67,7,48.27,22.08,0.09,-88.06,1.05,-11.44,37.1
ㅇㅇ(211.216),211.216,비회원,64,3467,24,56,12,54.17,37.0,0.38,-49.58,0.88,-25.78,38.0
ㅇㅇ(175.119),175.119,비회원,63,2508,9,100,37,39.81,0.68,0.14,-81.42,1.59,34.11,41.94
ㅇㅇ(211.202),211.202,비회원,63,2740,36,110,3,43.49,9.99,0.57,-24.37,1.75,47.6,35.82
5서클마법사,session4528,고정,62,2888,70,162,780,46.58,17.8,1.13,49.93,2.61,120.14,175.12
한석순이(banana0840),banana0840,비고정,62,2708,43,48,42,43.68,10.47,0.69,-8.45,0.77,-35.05,42.28
ㅇㅇ(122.44),122.44,비회원,61,3459,76,49,12,56.7,43.4,1.25,65.85,0.8,-32.52,36.32
ㅇㅇ(pity3443),pity3443,비고정,60,2582,36,103,31,43.03,8.83,0.6,-20.39,1.72,45.07,39.18
ㅇㅇ(honored5897),honored5897,비고정,60,3021,31,70,236,50.35,27.34,0.52,-31.0,1.17,-1.32,76.08
ㅇㅇ(1.252),1.252,비회원,59,2502,54,33,20,42.41,7.26,0.92,22.07,0.56,-52.77,36.64
ㅇㅇ(218.55),218.55,비회원,59,2427,7,84,0,41.14,4.05,0.12,-84.08,1.42,19.77,33.04
일부다처제,syrup8641,고정,58,3180,24,139,101,54.83,38.67,0.41,-45.6,2.4,102.43,50.66
(14.52),beast6330,고정,56,2958,7,235,234,52.82,33.59,0.12,-84.08,4.2,254.25,73.48
ㅇㅇ(122.36),122.36,비회원,56,2941,28,67,21,52.52,32.83,0.5,-33.66,1.2,1.21,35.14
ㅇㅇ(211.49),211.49,비회원,56,2619,7,77,3,46.77,18.28,0.12,-84.08,1.38,16.4,31.9
ㅇㅇ(124.54),124.54,비회원,54,2545,4,73,0,47.13,19.2,0.07,-90.71,1.35,13.87,30.24
ㅇㅇ(116.41),116.41,비회원,53,2050,21,226,105,38.68,-2.18,0.4,-46.93,4.26,259.31,48.58
team10(homemade1836),homemade1836,비고정,53,2362,4,134,40,44.57,12.72,0.08,-89.39,2.53,113.39,36.88
화이트베리,insist0157,고정,52,1804,55,130,85,34.69,-12.27,1.06,40.64,2.5,110.86,44.42
ㅇㅇ(nuitsuchy827),nuitsuchy827,비고정,52,2515,28,43,195,48.37,22.33,0.54,-28.35,0.83,-29.99,64.22
두짱,wkdendyd,고정,52,3516,45,188,308,67.62,71.02,0.87,15.43,3.62,205.33,84.56
오팔.226,doll3938,고정,52,2626,40,156,91,50.5,27.72,0.77,2.17,3.0,153.04,45.5
삼수생공부기록,december7675,고정,51,5632,194,281,241,110.43,179.29,3.8,404.2,5.51,364.74,71.94
변태(suitable3153),suitable3153,비고정,51,4476,109,352,206,87.76,121.95,2.14,183.94,6.9,481.98,65.64
수학황재희,india0545,고정,51,4793,173,79,22,93.98,137.68,3.39,349.8,1.55,30.74,32.52
아주대꼭간다,less7475,고정,51,2764,85,54,165,54.2,37.08,1.67,121.58,1.06,-10.59,58.26
ㅇㅇ(180.69),180.69,비회원,50,3040,103,96,6,60.8,53.77,2.06,173.33,1.92,61.94,29.08
루카코,diplomat1111,고정,50,2251,23,86,328,45.02,13.86,0.46,-38.97,1.72,45.07,87.04
ㅇㅇ(oral9999),oral9999,비고정,49,6086,274,31,13,124.2,214.11,5.59,641.7,0.63,-46.86,29.78
ㅇㅇ(girl3203),girl3203,비고정,49,6413,196,98,143,130.88,231.01,4.0,430.73,2.0,68.69,53.18
